Surge2 leak,Surge3 loss,Surge3 leak,CO2,C2H4,C2H2,C2H6,CH4,CO,C3H6,C3H8
0.0000,119.7000,0.0000,2399.0000,5.0000,0.0000,225.0000,84.0000,186.0000,39.0000,176.0000
0.0000,69.3000,0.0000,2095.0000,7.0000,0.0000,109.0000,101.0000,214.0000,52.0000,80.0000
10.0000,63.0000,10.0000,7680.0000,5.0000,0.0000,190.0000,109.0000,220.0000,47.0000,143.0000
0.0000,72.2000,0.0000,4192.0000,4.0000,0.0000,256.0000,132.0000,260.0000,27.0000,184.0000
0.0000,62.9000,0.0000,6259.0000,5.0000,0.0000,245.0000,120.0000,199.0000,171.0000,0.0000
0.0000,37.5000,0.0000,1203.0000,8.0000,0.0000,306.0000,129.0000,194.0000,205.0000,0.0000
0.0000,86.3000,0.0000,1716.0000,8.0000,0.0000,226.0000,123.0000,210.0000,31.0000,155.0000
0.0000,115.8000,0.0000,3726.0000,7.0000,0.0000,234.0000,132.0000,312.0000,25.0000,163.0000
0.0000,57.4000,0.0000,11402.0000,7.0000,0.0000,346.0000,251.0000,524.0000,28.0000,229.0000
0.0000,58.7000,0.0000,1880.0000,8.0000,0.0000,227.0000,143.0000,351.0000,24.0000,150.0000
0.0000,69.2000,0.0000,3768.0000,8.0000,0.0000,179.0000,130.0000,256.0000,23.0000,118.0000
0.0000,62.0000,0.0000,8101.0000,5.0000,0.0000,129.0000,133.0000,351.0000,51.0000,95.0000
0.0000,73.3000,0.0000,6545.0000,3.0000,0.0000,157.0000,116.0000,366.0000,46.0000,118.0000
0.0000,73.4000,0.0000,4672.0000,6.0000,0.0000,8.0000,33.0000,161.0000,37.0000,21.0000
0.0000,141.2000,0.0000,4996.0000,6.0000,0.0000,10.0000,38.0000,216.0000,34.0000,19.0000
0.0000,131.2000,0.0000,2930.0000,6.0000,0.0000,83.0000,99.0000,125.0000,21.0000,58.0000
0.0000,35.1000,0.0000,4477.0000,6.0000,0.0000,160.0000,152.0000,417.0000,22.0000,104.0000
10.0000,49.5000,10.0000,3688.0000,5.0000,0.0000,166.0000,140.0000,473.0000,21.0000,113.0000
10.0000,43.1000,10.0000,3602.0000,5.0000,0.0000,7.0000,34.0000,220.0000,17.0000,15.0000
0.0000,27.7000,0.0000,2958.0000,3.0000,0.0000,4.0000,13.0000,918.0000,14.0000,0.0000
0.0000,36.4000,0.0000,3817.0000,6.0000,0.0000,5.0000,15.0000,1181.0000,17.0000,14.0000
0.0000,46.7000,0.0000,4524.0000,3.0000,0.0000,4.0000,13.0000,1086.0000,15.0000,0.0000
0.0000,28.6000,0.0000,11092.0000,3.0000,0.0000,7.0000,29.0000,549.0000,16.0000,14.0000
0.0000,67.6000,0.0000,7570.0000,0.0000,0.0000,6.0000,24.0000,782.0000,15.0000,14.0000
0.0000,30.2000,0.0000,5254.0000,4.0000,0.0000,6.0000,22.0000,612.0000,15.0000,14.0000
0.0000,21.5000,0.0000,4386.0000,7.0000,0.0000,263.0000,146.0000,430.0000,26.0000,197.0000
0.0000,34.2000,0.0000,4437.0000,6.0000,0.0000,260.0000,159.0000,405.0000,27.0000,197.0000
10.0000,21.1000,10.0000,11702.0000,0.0000,0.0000,5.0000,23.0000,478.0000,16.0000,14.0000
0.0000,34.0000,0.0000,10920.0000,0.0000,0.0000,6.0000,28.0000,421.0000,17.0000,14.0000
0.0000,34.2000,0.0000,5591.0000,4.0000,0.0000,4.0000,16.0000,1141.0000,14.0000,13.0000
0.0000,18.3000,0.0000,899.0000,3.0000,0.0000,43.0000,27.0000,109.0000,30.0000,65.0000
0.0000,26.3000,0.0000,4976.0000,3.0000,0.0000,4.0000,13.0000,1070.0000,14.0000,13.0000
0.0000,21.0600,0.0000,3330.0000,5.0000,0.0000,108.0000,61.0000,388.0000,19.0000,94.0000
0.0000,18.7600,0.0000,3558.0000,9.0000,0.0000,89.0000,85.0000,361.0000,21.0000,61.0000
0.0000,26.1000,0.0000,15618.0000,4.0000,0.0000,75.0000,67.0000,241.0000,35.0000,63.0000
