Insu R1,Insu R2,Insu R3,SC Tap1,SC Tap2,SC Tap3,R12.8,R12.9,R12.10,R23.7,R23.8,R23.9,R23.10,R31.1,R31.3,R31.9,R31.10,R31.11,x10,Cap HL,Tan HL,Cap LH,Tan LH,BD Main,BD OLTC,Bush1 cap,Bush1 tan,Bush2 cap,Bush2 tan,Bush3 cap,Bush3 tan,Surge1 loss,Surge1 leak,Surge2 loss,Surge3 loss,CO2,C2H4,C2H2,C2H6,CH4,CO,C3H6,C3H8,H2,O2,N2
1.2383,1.1005,1.2205,90.821,71.4243,56.884,8.7162,8.6082,8.5002,8.8243,8.7165,8.6084,8.5006,9.4719,9.2563,8.6084,8.5001,8.3922,28.12,9.6575,0.1457,18.7655,0.621,71.1833,67.6833,176.831,0.3953,175.611,0.3849,175.525,0.3887,26.2,0,31.5,25.9,12726,11,0,98,88,329,28,60,8,6606,5573
1.2171,1.123,1.2143,90.9,71.4617,56.9197,8.716,8.6084,8.5005,8.8246,8.7166,8.6086,8.5006,9.4723,9.2559,8.6082,8.5005,8.3926,25.43,9.6387,0.2252,18.6165,0.5505,72.8167,66.1667,178.157,0.3531,178.142,0.3737,176.69,0.3872,171.2,0,52,50.2,13417,10,0,186,104,260,50,119,56,9524,5754
1.2324,1.0635,1.1654,91.8623,72.254,57.5167,8.7202,8.6122,8.5038,8.8286,8.7206,8.6123,8.5043,9.4774,9.2611,8.6119,8.5038,8.3959,30.06,9.5447,0.3683,18.7117,0.3683,75.3,57.0667,174.505,0.3814,175.762,0.3557,180.405,0.5271,35.2,0,41.5,35.8,,,,,,,,,,,
1.2148,1.1143,1.8138,90.928,71.5167,56.9367,8.7219,8.6139,8.5057,8.8279,8.7199,8.6113,8.5034,9.4774,9.2604,8.6117,8.5033,8.3956,29.63,9.6709,0.1766,20.0057,0.6049,78.2833,77.4333,178.315,0.399,175.546,0.3702,178.543,0.4536,52,0,57.1,50.4,,,,,,,,,,,
1.2926,1.1962,1.3278,90.711,71.2203,56.6133,8.7153,8.6074,8.4995,8.8232,8.7155,8.6074,8.4996,9.471,9.2548,8.6075,8.4992,8.3914,16.47,9.807,0.1826,18.7839,0.1885,78.0667,28.9333,176.739,0.1863,176.367,0.2883,175.721,0.2796,17.1,0,35,33.3,12806,9,0,179,139,423,20,105,254,2470,74326
1.4301,1.2249,0,90.223,70.8287,56.3693,8.7154,8.6073,8.4995,8.8235,8.7152,8.6074,8.4995,9.4713,9.2555,8.6079,8.4997,8.3914,32.2,10.004,0.1954,18.3374,0.6137,67.2167,46.4167,177.508,0.188,176.373,0.1737,177.368,0.1824,78.1,0,70.6,26.4,11372,5,0,179,110,336,7,112,2229,3538,4699
3,3,3,90.6667,71,56.3333,8.7361,8.6287,8.5208,8.8434,8.7359,8.6281,8.5206,9.4896,0.2744,8.6283,8.5201,8.4128,20,7.0854,0.3084,7.0856,0.3059,41.6167,42.95,259.903,0.2095,260.146,0.2281,259.788,0.2309,42.5,10,46.1,44.2,16524,8,0,84,70,234,20,54,279,2285,31785
1.1413,1,2,90.6973,71.3027,56.6307,8.7178,8.6099,8.5018,8.8256,8.7172,8.6095,8.5012,9.4744,9.2585,8.6009,8.5008,8.3929,35.16,9.6653,0.1286,,,74.6667,59.15,178.56,0.1843,179.285,0.1548,178.082,0.1847,36.6,0,43.2,37.1,14391,116,0,187,166,382,89,126,83,253,4527
1.3533,1.5714,1.1212,91.6197,72.0007,57.2403,8.7157,8.6079,8.5,8.8238,8.7158,8.6077,8.4998,9.4715,9.2554,8.6079,8.4998,8.3917,42.4,3.7635,0.2944,12.7161,0.5929,72.8333,64.4333,175.89,0.4055,175.027,0.3941,175.401,0.3965,34.5,0,134.6,35,14680,23,5,383,127,229,37,166,139,6171,5026
1.3571,1.1297,1.2978,73.2677,73.2263,73.649,8.7161,8.6084,8.5003,8.8243,8.7162,8.6083,8.5003,9.4726,9.2561,8.6081,8.5002,8.3921,20.93,9.667,0.1641,18.4462,0.3129,86.55,94.5167,174.859,0.3959,175.252,0.3959,175.286,0.3587,15.7,0,19.3,17,12018,10,0,307,114,273,15,114,150,13397,5495
